resolucao;tabela;tipo_carga;eixos;coef_deslocamento;coef_carga_descarga;dt_inicio_vigencia
Resolução ANTT nº 6.067/2025;A;Carga Geral;5;6.0112;610.08;2025-07-18
Resolução ANTT nº 6.067/2025;A;Carga Geral;6;6.7301;660.12;2025-07-18
Resolução ANTT nº 6.067/2025;A;Carga Geral;7;7.3085;752.64;2025-07-18
Resolução ANTT nº 6.067/2025;A;Carga Geral;9;8.2680;815.30;2025-07-18
Resolução ANTT nº 6.076/2026;A;Carga Geral;5;6.1604;635.08;2026-01-20
Resolução ANTT nº 6.076/2026;A;Carga Geral;6;6.7774;648.95;2026-01-20
Resolução ANTT nº 6.076/2026;A;Carga Geral;7;7.4902;803.22;2026-01-20
Resolução ANTT nº 6.076/2026;A;Carga Geral;9;8.5104;872.44;2026-01-20
Portaria SUROC nº 3/2026;A;Carga Geral;5;6.5126;635.08;2026-03-13
Portaria SUROC nº 3/2026;A;Carga Geral;6;7.1824;648.95;2026-03-13
Portaria SUROC nº 3/2026;A;Carga Geral;7;7.8952;803.22;2026-03-13
Portaria SUROC nº 3/2026;A;Carga Geral;9;8.9799;872.44;2026-03-13
