embarque;ID;dt_saida;uf_remet;uf_dest;cliente;rota;km;qtd_eixos;frete_sem_icms;icms;frete_com_icms
006001;CSP6001;2025-10-02;SP;BA;Cliente C;SP x BA;1411;7;11546.13;0.0;11546.13
006002;DSP6002;2025-08-09;SP;BA;Cliente D;SP x BA;1447;9;13006.1;910.43;13916.53
006003;CGO6003;2025-09-26;GO;SP;Cliente C;GO x SP;941;9;9296.67;650.77;9947.44
006004;EPR6004;2025-10-27;PR;PE;Cliente E;PR x PE;2664;9;25349.23;3041.91;28391.14
006005;ASP6005;2025-10-31;SP;BA;Cliente A;SP x BA;1434;5;10505.03;0.0;10505.03
006006;ESC6006;2026-03-25;SC;SP;Cliente E;SC x SP;709;5;4950.43;0.0;4950.43
006007;CSP6007;2026-01-28;SP;CE;Cliente C;SP x CE;2816;6;20288.93;0.0;20288.93
006008;EMG6008;2026-03-10;MG;RS;Cliente E;MG x RS;1687;6;12244.14;1469.3;13713.44
006009;ASP6009;2026-01-19;SP;CE;Cliente A;SP x CE;2802;6;18166.38;0.0;18166.38
006010;CPR6010;2025-09-11;PR;PE;Cliente C;PR x PE;2654;6;20880.52;1461.64;22342.16
006011;DSP6011;2025-09-28;SP;CE;Cliente D;SP x CE;2833;5;21695.82;0.0;21695.82
006012;AMG6012;2026-03-22;MG;RS;Cliente A;MG x RS;1686;6;14442.9;1733.15;16176.05
006013;ASC6013;2025-09-05;SC;SP;Cliente A;SC x SP;684;7;4576.73;549.21;5125.94
006014;CRJ6014;2025-09-05;RJ;MG;Cliente C;RJ x MG;427;6;3393.51;237.55;3631.06
006015;APR6015;2026-02-19;PR;PE;Cliente A;PR x PE;2660;6;21529.88;2583.59;24113.47
006016;BMG6016;2026-01-22;MG;RS;Cliente B;MG x RS;1717;5;12884.54;0.0;12884.54
006017;BMG6017;2025-08-29;MG;RS;Cliente B;MG x RS;1731;7;14389.76;1007.28;15397.04
006018;EMG6018;2025-12-08;MG;RS;Cliente E;MG x RS;1714;6;14787.64;0.0;14787.64
006019;AGO6019;2026-02-12;GO;SP;Cliente A;GO x SP;905;7;6449.38;0.0;6449.38
006020;ASP6020;2025-08-29;SP;CE;Cliente A;SP x CE;2811;5;21771.34;0.0;21771.34
006021;AGO6021;2026-03-13;GO;SP;Cliente A;GO x SP;899;6;6491.14;0.0;6491.14
006022;APR6022;2026-03-31;PR;PE;Cliente A;PR x PE;2628;9;24935.11;0.0;24935.11
006023;AGO6023;2026-01-30;GO;SP;Cliente A;GO x SP;955;6;6248.17;0.0;6248.17
006024;BSC6024;2025-09-27;SC;SP;Cliente B;SC x SP;682;6;4907.36;343.52;5250.88
006025;CGO6025;2026-01-29;GO;SP;Cliente C;GO x SP;896;5;6601.22;462.09;7063.31
006026;ASP6026;2025-10-11;SP;BA;Cliente A;SP x BA;1442;6;10741.49;1288.98;12030.47
006027;ASC6027;2025-09-18;SC;SP;Cliente A;SC x SP;726;9;5670.21;680.43;6350.64
006028;BMS6028;2025-08-16;MS;MG;Cliente B;MS x MG;1042;5;7313.8;511.97;7825.77
006029;AGO6029;2025-09-05;GO;SP;Cliente A;GO x SP;908;9;8641.35;604.89;9246.24
006030;BSP6030;2025-08-24;SP;BA;Cliente B;SP x BA;1413;5;11046.42;0.0;11046.42
006031;ARJ6031;2025-09-24;RJ;MG;Cliente A;RJ x MG;435;9;4716.57;330.16;5046.73
006032;AMG6032;2025-10-13;MG;RS;Cliente A;MG x RS;1741;9;19080.14;0.0;19080.14
006033;CSC6033;2025-10-15;SC;SP;Cliente C;SC x SP;684;6;5099.13;356.94;5456.07
006034;ESP6034;2025-12-28;SP;CE;Cliente E;SP x CE;2783;5;19848.64;0.0;19848.64
006035;BPR6035;2026-03-06;PR;PE;Cliente B;PR x PE;2623;5;17543.63;0.0;17543.63
006036;DGO6036;2026-03-30;GO;SP;Cliente D;GO x SP;921;5;7149.44;500.46;7649.9
006037;CSP6037;2026-03-28;SP;BA;Cliente C;SP x BA;1436;7;11850.47;0.0;11850.47
006038;AGO6038;2025-09-03;GO;SP;Cliente A;GO x SP;912;9;8720.99;610.47;9331.46
006039;ASC6039;2025-08-19;SC;SP;Cliente A;SC x SP;714;5;5124.0;614.88;5738.88
006040;AGO6040;2025-09-10;GO;SP;Cliente A;GO x SP;919;7;8064.18;564.49;8628.67
006041;DMG6041;2026-03-29;MG;RS;Cliente D;MG x RS;1741;5;13482.55;943.78;14426.33
006042;EPR6042;2026-01-02;PR;PE;Cliente E;PR x PE;2637;7;21517.04;2582.04;24099.08
006043;BSC6043;2025-08-24;SC;SP;Cliente B;SC x SP;691;5;5094.25;0.0;5094.25
006044;AMS6044;2026-01-11;MS;MG;Cliente A;MS x MG;1020;6;7507.37;900.88;8408.25
006045;CMS6045;2026-03-30;MS;MG;Cliente C;MS x MG;1006;5;7798.25;0.0;7798.25
006046;BMS6046;2025-12-28;MS;MG;Cliente B;MS x MG;1052;7;9249.36;647.46;9896.82
