embarque;ID;dt_saida;uf_remet;uf_dest;cliente;rota;km;qtd_eixos;frete_sem_icms;icms;frete_com_icms;resolucao;dt_inicio_vigencia;dt_fim_vigencia;coef_deslocamento;coef_carga_descarga;piso_antt;diferenca;exposicao;situacao
006450;BPR6450;2025-08-01;PR;PE;Cliente B;PR x PE;2623;7;22455.69;2694.68;25150.37;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;7.3085;752.64;19922.84;2532.85;0;OK
006329;ASP6329;2025-08-02;SP;CE;Cliente A;SP x CE;2786;5;19733.86;0.0;19733.86;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;6.0112;610.08;17357.28;2376.58;0;OK
006685;BPR6685;2025-08-02;PR;PE;Cliente B;PR x PE;2676;7;22279.35;2673.52;24952.87;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;7.3085;752.64;20310.19;1969.16;0;OK
006479;CRJ6479;2025-08-02;RJ;MG;Cliente C;RJ x MG;441;5;3168.61;0.0;3168.61;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;6.0112;610.08;3261.02;-92.41;92.41;ABAIXO
006510;ASP6510;2025-08-03;SP;BA;Cliente A;SP x BA;1416;5;10501.93;1260.23;11762.16;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;6.0112;610.08;9121.94;1379.99;0;OK
006360;CMS6360;2025-08-03;MS;MG;Cliente C;MS x MG;1054;7;9134.52;1096.14;10230.66;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;7.3085;752.64;8455.8;678.72;0;OK
006827;AGO6827;2025-08-04;GO;SP;Cliente A;GO x SP;940;6;5250.45;367.53;5617.98;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;6.7301;660.12;6986.41;-1735.96;1735.96;ABAIXO
006123;ASC6123;2025-08-04;SC;SP;Cliente A;SC x SP;681;9;6671.22;0.0;6671.22;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;8.268;815.3;6445.81;225.41;0;OK
006675;ASP6675;2025-08-04;SP;CE;Cliente A;SP x CE;2794;5;18784.97;1314.95;20099.92;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;6.0112;610.08;17405.37;1379.6;0;OK
006881;ASP6881;2025-08-04;SP;CE;Cliente A;SP x CE;2804;7;18108.24;0.0;18108.24;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;7.3085;752.64;21245.67;-3137.43;3137.43;ABAIXO
006153;AGO6153;2025-08-05;GO;SP;Cliente A;GO x SP;933;7;5715.71;0.0;5715.71;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;7.3085;752.64;7571.47;-1855.76;1855.76;ABAIXO
006499;AGO6499;2025-08-05;GO;SP;Cliente A;GO x SP;906;9;7154.81;500.84;7655.65;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;8.268;815.3;8306.11;-1151.3;1151.3;ABAIXO
006392;ASC6392;2025-08-05;SC;SP;Cliente A;SC x SP;724;5;4652.45;325.67;4978.12;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;6.0112;610.08;4962.19;-309.74;309.74;ABAIXO
006708;ASC6708;2025-08-05;SC;SP;Cliente A;SC x SP;700;6;4123.92;0.0;4123.92;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;6.7301;660.12;5371.19;-1247.27;1247.27;ABAIXO
006322;BMS6322;2025-08-05;MS;MG;Cliente B;MS x MG;1010;7;9644.21;0.0;9644.21;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;7.3085;752.64;8134.23;1509.98;0;OK
006705;DSP6705;2025-08-05;SP;CE;Cliente D;SP x CE;2835;5;19422.74;0.0;19422.74;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;6.0112;610.08;17651.83;1770.91;0;OK
006419;AMG6419;2025-08-06;MG;RS;Cliente A;MG x RS;1740;5;11669.43;0.0;11669.43;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;6.0112;610.08;11069.57;599.86;0;OK
006229;AGO6229;2025-08-07;GO;SP;Cliente A;GO x SP;946;9;7283.87;509.87;7793.74;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;8.268;815.3;8636.83;-1352.96;1352.96;ABAIXO
006552;AMG6552;2025-08-07;MG;RS;Cliente A;MG x RS;1716;7;15943.19;1913.18;17856.37;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;7.3085;752.64;13294.03;2649.16;0;OK
006407;APR6407;2025-08-07;PR;PE;Cliente A;PR x PE;2620;9;19418.63;0.0;19418.63;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;8.268;815.3;22477.46;-3058.83;3058.83;ABAIXO
006642;BPR6642;2025-08-08;PR;PE;Cliente B;PR x PE;2628;6;18781.85;2253.82;21035.67;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;6.7301;660.12;18346.82;435.03;0;OK
006166;CMS6166;2025-08-08;MS;MG;Cliente C;MS x MG;1037;7;8403.61;0.0;8403.61;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;7.3085;752.64;8331.55;72.06;0;OK
006900;CSP6900;2025-08-08;SP;CE;Cliente C;SP x CE;2791;7;25529.98;1787.1;27317.08;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;7.3085;752.64;21150.66;4379.32;0;OK
006221;APR6221;2025-08-09;PR;PE;Cliente A;PR x PE;2674;9;19442.37;0.0;19442.37;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;8.268;815.3;22923.93;-3481.56;3481.56;ABAIXO
006002;DSP6002;2025-08-09;SP;BA;Cliente D;SP x BA;1447;9;13006.1;910.43;13916.53;Resolução ANTT nº 6.067/2025;2025-07-18;2026-01-19;8.268;815.3;12779.1;227.0;0;OK
